Marital Status,Course,Previous qualification,Previous qualification (grade),Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Gender,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,isDisplaced,hasSpecialNeeds,tuitionToDate,hasScholarship,isDebtor,AttendanceTime,Nationality
Single,Animation and Multimedia Design,Secondary,122.0,Basic,Basic,5,9,127.3,Male,20,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Dropout,True,False,True,False,False,Day,Portuguese
Single,Tourism,Secondary,160.0,Secondary,Higher,3,3,142.5,Male,19,0,0,6,6,6,14.0,0,0,6,6,6,13.66666667,0,13.9,-0.3,0.79,Graduate/Enrolled,True,False,False,False,False,Day,Portuguese
Single,Communication Design,Secondary,122.0,Basic,Basic,9,9,124.8,Male,19,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,Dropout,True,False,False,False,False,Day,Portuguese
Single,Journalism and Communication,Secondary,122.0,Basic,Basic,5,3,119.6,Female,20,0,0,6,8,6,13.42857143,0,0,6,10,5,12.4,0,9.4,-0.8,-3.12,Graduate/Enrolled,True,False,True,False,False,Day,Portuguese
Married,Social Service (evening attendance),Secondary,100.0,Basic,Basic,9,9,141.5,Female,45,0,0,6,9,5,12.33333333,0,0,6,6,6,13.0,0,13.9,-0.3,0.79,Graduate/Enrolled,False,False,True,False,False,Evening,Portuguese
Married,Management (evening attendance),Below secondary,133.1,Basic,Basic,9,7,114.8,Male,50,0,0,5,10,5,11.85714286,0,0,5,17,5,11.5,5,16.2,0.3,-0.92,Graduate/Enrolled,False,False,True,False,True,Evening,Portuguese
Single,Nursing,Secondary,142.0,Basic,Basic,7,10,128.4,Female,18,0,0,7,9,7,13.3,0,0,8,8,8,14.345,0,15.5,2.8,-4.06,Graduate/Enrolled,True,False,True,True,False,Day,Portuguese
Single,Tourism,Secondary,119.0,Basic,Basic,9,9,113.1,Male,22,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,Dropout,True,False,False,False,False,Day,Portuguese
Single,Social Service,Secondary,137.0,Secondary,Secondary,9,9,129.3,Female,21,1,0,6,8,6,13.875,0,0,6,7,6,14.14285714,0,16.2,0.3,-0.92,Graduate/Enrolled,False,False,True,True,False,Day,Romanian
Single,Social Service,Secondary,138.0,Secondary,Basic,4,7,123.0,Female,18,0,0,6,9,5,11.4,0,0,6,14,2,13.5,0,8.9,1.4,3.51,Dropout,True,False,False,False,True,Day,Portuguese
Single,Advertising and Marketing Management,Secondary,139.0,Basic,Basic,5,7,130.6,Female,18,0,0,6,6,6,12.33333333,0,0,6,7,5,14.2,0,13.9,-0.3,0.79,Graduate/Enrolled,True,False,True,False,False,Day,Portuguese
